Subject,Class,language,Chapter_Number,Chapter_Name,title,solution_link,Subscription_Type,Exam_Type
Maths,Class 12th,Hindi,1,संबंध एवं फलन,Relations and Functions ,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/HINDI_MEDIUM/MATHS/NCERT_SOLUTIONS/RNF%20SOLUTION%20NCERT%20FINAL.pdf,BASIC,Board
Maths,Class 12th,Hindi,2,प्रतिलोम त्रिकोणमितीय फलन,Inverse Trigonometric Functions,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/HINDI_MEDIUM/MATHS/NCERT_SOLUTIONS/ITF+SOLUTION+NCERT+FINAL.pdf,BASIC,Board
Maths,Class 12th,Hindi,3,आव्यूह,Matrices ,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/HINDI_MEDIUM/MATHS/NCERT_SOLUTIONS/Matrix+SOLUTION+NCERT+FINAL.pdf,BASIC,Board
Maths,Class 12th,Hindi,4,सारणिक,Determinants ,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/HINDI_MEDIUM/MATHS/NCERT_SOLUTIONS/DETERMINANATS%20SOLUTION%20NCERT%20FINAL.pdf,BASIC,Board
Maths,Class 12th,Hindi,5,सांतत्य और अवकलनीयता,Continuity and Differentiability ,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/HINDI_MEDIUM/MATHS/NCERT_SOLU[…]CERT%20SOLUTION%20%20SANTATAY%20EVAM%20AVKALNIYATA.pdf,BASIC,Board
Maths,Class 12th,Hindi,6,अवकलज के अनुप्रयोग,Application of Derivatives ,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/HINDI_MEDIUM/MATHS/NCERT_SOLUTIONS/NCERT%20SOLUTION%20%20AVKALAJ%20KE%20ANUPRAYOG.pdf,BASIC,Board
Maths,Class 12th,English,1,Relations and Functions ,Relations and Functions ,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/ENGLISH_MEDIUM/MATHS/NCERT_SOLUTIONS/Relations+and+Functions+NCERT+SOLUTION+english.pdf,BASIC,Board
Maths,Class 12th,English,2,Inverse Trigonometric Functions,Inverse Trigonometric Functions,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/ENGLISH_MEDIUM/MATHS/NCERT_SOLUTIONS/Inverse%20Trigonometric%20Functions%20NCERT%20SOLUTION%20english.pdf,BASIC,Board
Maths,Class 12th,English,3,Matrices ,Matrices ,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/ENGLISH_MEDIUM/MATHS/NCERT_SOLUTIONS/Matrices%20NCERT%20SOLUTION%20English.pdf,BASIC,Board
Maths,Class 12th,English,4,Determinants ,Determinants ,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/ENGLISH_MEDIUM/MATHS/NCERT_SOLUTIONS/Determinants%20NCERT%20SOLUTION%20english.pdf,BASIC,Board
Maths,Class 12th,English,5,Continuity and Differentiability ,Continuity and Differentiability ,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/ENGLISH_MEDIUM/MATHS/NCERT_SOLUTIONS/Continuity%20and%20Differentiability%20NCERT%20SOLUTION%20english.pdf,BASIC,Board
Maths,Class 12th,English,6,Application of Derivatives ,Application of Derivatives ,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/ENGLISH_MEDIUM/MATHS/NCERT_SOLUTIONS/Application of Derivative NCERT SOLUTION english.pdf,BASIC,Board